"Proc","Created count","Total created time","Total created time(ms)","Total created time(%)","Max created time(ms)","Avg created time(ms)","Restart count","Min restart time(ms)","Avg restart time(ms)","Restart after kill count","Min restart after kill time(ms)","Avg restart after kill time(ms)"
"com.android.systemui:screenshot","1","1m38s543ms","98543","74%","98543","98543","0","0","","0","0",""
"com.qihoo360.mobilesafe:FloatWindow","1","11s544ms","11544","8%","11544","11544","0","0","","0","0",""
"com.qiku.android.register","1","1m59s255ms","119255","89%","119255","119255","0","0","","0","0",""
"com.qiku.android.virtualnumber","1","36s645ms","36645","27%","36645","36645","0","0","","0","0",""
"com.yulong.android.ota","1","1m48s169ms","108169","81%","108169","108169","0","0","","0","0",""
"android.process.acore","1","1m23s329ms","83329","62%","83329","83329","0","0","","0","0",""
"com.tianyancha.skyeye","1","24s935ms","24935","18%","24935","24935","0","0","","0","0",""
"com.qiku.music.service","3","1m15s665ms","75665","56%","55888","25221","2","16","11190","0","0",""
"com.android.mms","2","2m13s4ms","133004","99%","96652","66502","1","20","20","0","0",""
"com.tianyancha.skyeye:channel","1","14s391ms","14391","10%","14391","14391","0","0","","0","0",""
"com.tencent.mobileqq:tool","1","19s149ms","19149","14%","19149","19149","0","0","","0","0",""
"com.yulong.android.filebrowser","1","1m48s149ms","108149","81%","108149","108149","0","0","","0","0",""
"com.svox.pico","1","16s626ms","16626","12%","16626","16626","0","0","","0","0",""
"com.android.inputmethod.latin","1","1m33s746ms","93746","70%","93746","93746","0","0","","0","0",""
"com.android.sc","1","1m46s758ms","106758","80%","106758","106758","0","0","","0","0",""
"com.qiku.freecall","2","2m12s986ms","132986","99%","96491","66493","1","38","38","0","0",""
"com.qihoo360.mobilesafe:WifiExam","1","22s728ms","22728","17%","22728","22728","0","0","","0","0",""
