"Pkg","Cls","Created count","Total created time","Total created time(ms)","Total created time(%)","Max created time(ms)","Avg created time(ms)","Resumed count","Total resumed time","Total resumed time(ms)","Total resumed time(%)","Max resumed time(ms)","Avg resumed time(ms)"
"com.tianyancha.skyeye",".MainActivity","2","42m11s317ms","2531317","96%","1961656","1265658","21","34m7s776ms","2047776","78%","1320145","97513"
"com.tianyancha.skyeye",".invite.TakeMoneyActivity","2","11s392ms","11392","0%","9333","5696","3","13m47s588ms","827588","31%","821769","275862"
"com.tencent.mm",".ui.transmit.SelectConversationUI","2","19s100ms","19100","0%","12305","9550","4","19s368ms","19368","0%","19251","4842"
"com.tianyancha.skyeye",".activity.InvoiceDetailActivity","1","21s532ms","21532","0%","21532","21532","1","18m30s226ms","1110226","42%","1110226","1110226"
"com.tianyancha.skyeye",".SplashPage","2","4s188ms","4188","0%","2947","2094","2","10m10s384ms","610384","23%","610384","305192"
"com.tencent.mm",".plugin.wallet_core.ui.WalletOrderInfoUI","1","399ms","399","0%","399","399","1","16m36s759ms","996759","38%","996759","996759"
"com.tianyancha.skyeye",".invite.InviteAwardActivity","8","12m51s375ms","771375","29%","290946","96421","24","11m0s320ms","660320","25%","374957","27513"
"com.tencent.mm",".plugin.webview.ui.tools.SDKOAuthUI","1","2s209ms","2209","0%","2209","2209","1","13m43s633ms","823633","31%","823633","823633"
"com.tianyancha.skyeye",".invite.TakeMoneyDetailActivity","1","653ms","653","0%","653","653","1","42m17s618ms","2537618","97%","2537618","2537618"
"com.tencent.mm",".plugin.wallet_core.ui.WalletPwdConfirmUI","1","13s101ms","13101","0%","13101","13101","1","16m10s609ms","970609","37%","970609","970609"
"com.tencent.mm",".plugin.base.stub.WXPayEntryActivity","2","1s178ms","1178","0%","802","589","2","14m49s416ms","889416","34%","889416","444708"
"com.tianyancha.skyeye",".detail.company.FirmDetailActivity","6","41m38s722ms","2498722","95%","2480076","416453","6","40m36s372ms","2436372","93%","2436372","406062"
"com.tianyancha.skyeye",".activity.NearCompanyActivity","2","21s46ms","21046","0%","17140","10523","2","40m34s633ms","2434633","93%","2434633","1217316"
"com.tencent.mm",".plugin.wallet_core.id_verify.SwitchRealnameVerifyModeUI","1","36s669ms","36669","1%","36669","36669","1","15m38s786ms","938786","35%","938786","938786"
"com.android.systemui",".recents.leui.LeuiRecentActivity","1","32m56s600ms","1976600","75%","1976600","1976600","3","10m43s706ms","643706","24%","642597","214568"
"com.android.settings",".SubSettings","1","4s446ms","4446","0%","4446","4446","3","11m20s65ms","680065","26%","675192","226688"
"com.tianyancha.skyeye",".activity.order.PaySucActivity","1","1m19s746ms","79746","3%","79746","79746","1","17m57s917ms","1077917","41%","1077917","1077917"
"com.tencent.mm",".plugin.base.stub.WXEntryActivity","3","14s270ms","14270","0%","12973","4756","3","13m53s221ms","833221","31%","821820","277740"
"com.tencent.mm",".plugin.wallet_core.id_verify.WalletRealNameVerifyUI","1","31s770ms","31770","1%","31770","31770","1","15m51s948ms","951948","36%","951948","951948"
"com.tencent.mm",".plugin.wallet.pay.ui.WalletPayUI","2","43s459ms","43459","1%","33380","21729","3","15m22s139ms","922139","35%","922050","307379"
"com.tencent.mm",".plugin.base.stub.UIEntryStub","3","1s880ms","1880","0%","943","626","3","12s228ms","12228","0%","12228","4076"
"com.tianyancha.skyeye",".activity.BecomeVIPActivity","4","1m15s447ms","75447","2%","51408","18861","6","7m46s926ms","466926","17%","465817","77821"
"com.android.launcher3",".Launcher","1","43m34s898ms","2614898","100%","2614898","2614898","7","2m16s919ms","136919","5%","45111","19559"
"com.tianyancha.skyeye",".LoginActivity","1","10s145ms","10145","0%","10145","10145","1","11m48s367ms","708367","27%","708367","708367"
"com.tianyancha.skyeye",".detail.datadimension.risk.risk_lawsuit.RiskLawsuitListActivity","2","41m31s780ms","2491780","95%","2480081","1245890","2","41m8s997ms","2468997","94%","2468997","1234498"
"com.tencent.mm",".plugin.wallet_core.ui.WalletOrderInfoNewUI","1","1s791ms","1791","0%","1791","1791","1","16m38s198ms","998198","38%","998198","998198"
"com.tencent.mm",".ui.transmit.SendAppMessageWrapperUI","2","10s138ms","10138","0%","5252","5069","2","23s426ms","23426","0%","23426","11713"
"com.tencent.mm",".plugin.wallet_core.ui.WalletSetPasswordUI","1","18s638ms","18638","0%","18638","18638","1","15m58s119ms","958119","36%","958119","958119"
"com.tianyancha.skyeye",".activity.order.MyOrderActivity","1","34s706ms","34706","1%","34706","34706","2","18m4s503ms","1084503","41%","1083508","542251"
"com.tencent.mm",".app.WeChatSplashActivity","1","1s146ms","1146","0%","1146","1146","1","1ms","1","0%","1","1"
"com.tianyancha.skyeye",".FeedBackPage","3","23s731ms","23731","0%","10739","7910","3","40m38s668ms","2438668","93%","2438668","812889"
"com.tianyancha.skyeye",".activity.InvoiceApplyActivity","1","27s895ms","27895","1%","27895","27895","2","18m9s983ms","1089983","41%","1088939","544991"
"com.tianyancha.skyeye",".detail.datadimension.risk.company.CompanyRiskEvaluatingActivity","2","41m32s693ms","2492693","95%","2480080","1246346","2","41m8s378ms","2468378","94%","2468378","1234189"
"com.tencent.mm",".plugin.wallet_index.ui.OrderHandlerUI","2","42s987ms","42987","1%","32698","21493","2","14m49s735ms","889735","34%","889735","444867"
"com.tianyancha.skyeye",".detail.datadimension.lawsuit.LawsuitDetailActivity","2","41m32s163ms","2492163","95%","2481079","1246081","2","41m13s558ms","2473558","94%","2473558","1236779"
"com.tianyancha.skyeye",".wxapi.WXEntryActivity","2","970ms","970","0%","744","485","2","23s829ms","23829","0%","23829","11914"
"com.tianyancha.skyeye",".wxapi.WXPayEntryActivity","2","292ms","292","0%","148","146","1","15m22s119ms","922119","35%","922119","922119"
"com.tianyancha.skyeye",".detail.human.PersonDetailActivity","1","15s74ms","15074","0%","15074","15074","2","41m5s733ms","2465733","94%","2465592","1232866"
"com.tianyancha.skyeye",".SharePage","12","1m7s823ms","67823","2%","32907","5651","13","12m1s596ms","721596","27%","711255","55507"
"com.tianyancha.skyeye",".invite.AccountHistoryActivity","7","1m47s698ms","107698","4%","29229","15385","6","13m55s472ms","835472","31%","835472","139245"
"com.tencent.mm",".plugin.luckymoney.ui.En_fba4b94f","1","44s946ms","44946","1%","44946","44946","2","15m37s567ms","937567","35%","933683","468783"
"com.tianyancha.skyeye",".activity.LaunchActivity","1","23s300ms","23300","0%","23300","23300","1","10m32s676ms","632676","24%","632676","632676"
"com.android.settings",".Settings","1","32m35s28ms","1955028","74%","1955028","1955028","1","11m12s583ms","672583","25%","672583","672583"
"com.tencent.mm",".plugin.luckymoney.ui.LuckyMoneyDetailUI","1","3s17ms","3017","0%","3017","3017","1","16m17s89ms","977089","37%","977089","977089"
"com.tencent.mm",".ui.LauncherUI","1","29m26s468ms","1766468","67%","1766468","1766468","4","14m27s65ms","867065","33%","859320","216766"
"com.tianyancha.skyeye",".detail.datadimension.outinvest.OutInvestActivity","1","4s686ms","4686","0%","4686","4686","1","41m16s154ms","2476154","94%","2476154","2476154"
"com.tencent.mm",".ui.transmit.TaskRedirectUI","1","1s65ms","1065","0%","1065","1065","1","14m8s431ms","848431","32%","848431","848431"
