"Proc","Created count","Total created time","Total created time(ms)","Total created time(%)","Max created time(ms)","Avg created time(ms)","Restart count","Min restart time(ms)","Avg restart time(ms)","Restart after kill count","Min restart after kill time(ms)","Avg restart after kill time(ms)"
"com.letv.android.usagestats","2","42m46s618ms","2566618","98%","1794466","1283309","1","48280","48280","0","0",""
"com.android.email","1","25m3s496ms","1503496","57%","1503496","1503496","0","0","","0","0",""
"com.android.exchange","3","7m44s294ms","464294","17%","436539","154764","2","653594","1075302","0","0",""
"com.letv.android.backup","1","4m39s796ms","279796","10%","279796","279796","0","0","","0","0",""
"com.android.defcontainer","2","18m50s514ms","1130514","43%","678468","565257","1","1484384","1484384","0","0",""
"com.tianyancha.skyeye","1","20s581ms","20581","0%","20581","20581","0","0","","0","0",""
"com.android.cellbroadcastreceiver","1","18s622ms","18622","0%","18622","18622","0","0","","0","0",""
"com.tianyancha.skyeye:channel","1","10s5ms","10005","0%","10005","10005","0","0","","0","0",""
"com.android.launcher3:upgrade","1","7m16s238ms","436238","16%","436238","436238","0","0","","0","0",""
"com.letv.android.ecoProvider","2","12m49s844ms","769844","29%","766386","384922","1","22","22","0","0",""
"com.letv.android.filemanager","2","43m34s268ms","2614268","99%","1936470","1307134","1","630","630","0","0",""
"com.letv.walletbiz","2","43m9s818ms","2589818","99%","2018939","1294909","1","25080","25080","0","0",""
"com.letv.bugpostbox","2","2m52s967ms","172967","6%","169543","86483","1","144","144","0","0",""
"com.mediatek.esntrack","1","25m9s473ms","1509473","57%","1509473","1509473","0","0","","0","0",""
"com.mediatek.engineermode","2","37m11s456ms","2231456","85%","1765218","1115728","1","243436","243436","0","0",""
"com.letv.android.note","1","12m49s720ms","769720","29%","769720","769720","0","0","","0","0",""
"com.android.providers.calendar","2","1m31s514ms","91514","3%","89884","45757","1","589860","589860","0","0",""
"com.letv.android.letvsafe","1","18s781ms","18781","0%","18781","18781","0","0","","0","0",""
"com.android.externalstorage","1","11m17s500ms","677500","25%","677500","677500","0","0","","0","0",""
"com.letv.domain","3","40m3s209ms","2403209","91%","1800521","801069","2","116","39098","0","0",""
"com.tianyancha.skyeye:remote","1","3m2s207ms","182207","6%","182207","182207","0","0","","0","0",""
"com.softsim.control","1","7m17s835ms","437835","16%","437835","437835","0","0","","0","0",""
"android.process.acore","2","18m36s312ms","1116312","42%","678708","558156","1","1498586","1498586","0","0",""
"com.letv.android.themesettings","1","18s979ms","18979","0%","18979","18979","0","0","","0","0",""
"com.sohu.inputmethod.sogou.leshi","2","38m44s81ms","2324081","88%","1802274","1162040","1","18118","18118","0","0",""
"com.letv.android.wallpaperonline","1","2m19s453ms","139453","5%","139453","139453","0","0","","0","0",""
"com.letv.wallet","2","2m52s811ms","172811","6%","169584","86405","1","352","352","0","0",""
"com.android.keychain","3","11m23s990ms","683990","26%","437115","227996","2","430458","965454","0","0",""
"com.letv.leui.schpwronoff","1","18s870ms","18870","0%","18870","18870","0","0","","0","0",""
"com.letv.android.cloudservice","1","26m42s77ms","1602077","61%","1602077","1602077","0","0","","0","0",""
"com.icoolme.android.weather","2","33m48s846ms","2028846","77%","1935845","1014423","1","586052","586052","0","0",""
"com.tencent.mm:support","1","43m33s626ms","2613626","99%","2613626","2613626","0","0","","0","0",""
"com.android.shell","2","11m17s568ms","677568","25%","570818","338784","1","22","22","0","0",""
"com.sohu.inputmethod.status","1","41m15s584ms","2475584","94%","2475584","2475584","0","0","","0","0",""
"com.android.documentsui","2","4m6s951ms","246951","9%","140152","123475","1","430551","430551","0","0",""
"com.letv.android.mobileactivation","2","41m46s662ms","2506662","95%","1935583","1253331","1","18495","18495","0","0",""
"com.tencent.mm:tools","1","29m21s759ms","1761759","67%","1761759","1761759","0","0","","0","0",""
"com.mediatek.providers.drm","1","25m1s270ms","1501270","57%","1501270","1501270","0","0","","0","0",""
"com.android.inputmethod.latin","2","38m23s150ms","2303150","88%","1765015","1151575","1","172832","172832","0","0",""
"com.mediatek.mtklogger","3","30s554ms","30554","1%","10270","10184","2","587123","643288","0","0",""
"com.svox.pico","3","18m12s249ms","1092249","41%","573632","364083","2","22533","761324","0","0",""
"com.android.calendar","2","43m33s574ms","2613574","99%","1935364","1306787","1","1324","1324","0","0",""
"com.android.settings","2","36m24s495ms","2184495","83%","2044533","1092247","1","430403","430403","0","0",""
