"Name","Active count","Event count","Wakeup count","Expire count","Active since (ms)","Total time (ms)","Total time (%)","Max time (ms)","Last change","Prevent Suspend Time"
"PowerManagerService.WakeLocks","314","314","0","0","0","0","0","0","2879419","0"
"WLAN rx_thread","35748","35748","0","0","0","0","0","0","2892292","0"
"WLAN hif_thread","83671","83671","0","0","0","0","0","0","2892292","0"
"WLAN tx_thread","73161","73161","0","0","0","0","0","0","2892292","0"
"WLAN Timer  ","23","23","0","0","0","2","0","1","2883121","0"
"WLAN timeout","3417","103742","0","3416","0","2","0","0","2891984","0"
"WLAN interrupt","0","0","0","0","0","0","0","0","26376","0"
"event17     ","132","132","0","0","0","0","0","0","1143446","0"
"event1      ","0","0","0","0","0","0","0","0","24395","0"
"event0      ","0","0","0","0","0","0","0","0","24391","0"
"event2      ","0","0","0","0","0","0","0","0","24387","0"
"event18     ","0","0","0","0","0","0","0","0","23757","0"
"eventpoll   ","132","132","0","0","0","0","0","0","1143446","0"
"KeyEvents   ","205","205","0","0","0","0","0","0","2879212","0"
"PowerManagerService.Display","2","2","0","0","2","2","0","2","122349","0"
"NETLINK     ","370","370","0","0","0","0","0","0","2884000","0"
"[timerfd]   ","0","0","0","0","0","0","0","0","6578","0"
"gpswakelock ","2","2","0","0","0","0","0","0","2756377","0"
"wmtFuncCtrl ","9","9","0","0","0","0","0","0","2756377","0"
"MT662x      ","76","76","0","0","0","0","0","0","2888440","0"
"binder      ","2","2","0","0","0","0","0","0","23213","0"
"eventpoll   ","372","372","0","0","0","0","0","0","2884000","0"
"battery     ","52","52","0","0","0","0","0","0","2849803","0"
"wireless    ","2","2","0","0","0","0","0","0","6483","0"
"usb         ","8","8","0","0","0","0","0","0","1722751","0"
"ac          ","2","2","0","0","0","0","0","0","6484","0"
"battery meter wakelock","301","301","0","0","0","0","0","0","2883209","0"
"battery suspend wakelock","4","304","0","0","1","2","0","1","1722205","0"
"xhci.wakelock","0","0","0","0","0","0","0","0","2381","0"
"Offload wakelock","0","0","0","0","0","0","0","0","2180","0"
"alarm       ","106","109","0","0","0","0","0","0","2890877","0"
"vibrator    ","20","20","0","0","0","0","0","0","2872880","0"
"bq25890h    ","5","5","0","0","0","0","0","0","1723166","0"
"kpd wakelock","0","0","0","0","0","0","0","0","1821","0"
"spi_wakelock","0","0","0","0","0","0","0","0","1814","0"
"spi_wakelock","0","0","0","0","0","0","0","0","1814","0"
"spi_wakelock","0","0","0","0","0","0","0","0","1814","0"
"spi_wakelock","0","0","0","0","0","0","0","0","1813","0"
"spi_wakelock","4","4","0","0","0","0","0","0","1911","0"
"spi_wakelock","0","0","0","0","0","0","0","0","1811","0"
