"Pkg","Time","Wakes","Alarms","Action"
"1000:android","53072","0","70","*alarm*:android.content.jobscheduler.JOB_DELAY_EXPIRED"
"1000:android","26034","0","427","*alarm*:android.intent.action.TIME_TICK"
"1000:android","12976","0","5","*alarm*:android.content.syncmanager.SYNC_ALARM"
"1000:android","9432","0","16","*alarm*:com.android.server.action.NETWORK_STATS_POLL"
"1000:android","8948","0","22","*alarm*:android.content.jobscheduler.JOB_DEADLINE_EXPIRED"
"1000:android","1046","54","54","*walarm*:com.android.server.task.controllers.BatteryController.ACTION_CHARGING_STABLE"
"1000:android","452","0","2","*alarm*:android.appwidget.action.APPWIDGET_UPDATE"
"1000:android","193","7","7","*walarm*:android.net.wifi.DHCP_RENEW"
"1000:android","98","2","2","*walarm*:com.android.server.task.controllers.IdleController.ACTION_TRIGGER_IDLE"
"1000:android","3","1","1","*walarm*:NextAlarmTracker.trigger"
"1000:android","2","1","1","*walarm*:com.android.server.WifiManager.action.START_SCAN"
"1000:com.meizu.safe","63","1","1","*walarm*:remain_connect_action"
"1000:com.meizu.safe","34","0","1","*alarm*:com.meizu.usagestats.uploader_alarm.com.meizu.safe"
"1000:com.meizu.alphame","405","0","12","*alarm*:com.meizu.alphame.system.idle"
"1000:com.meizu.alphame","50","0","2","*alarm*:com.meizu.alphame.system.standby"
"1000:com.flyme.netadmin","16","0","1","*alarm*:com.meizu.usagestats.uploader_alarm.com.flyme.netadmin"
"1000:com.flyme.netadmin","8","1","1","*walarm*:remain_connect_action"
"1000:com.meizu.battery","149","0","12","*alarm*:com.meizu.power.powerexception.enter_idle_mode"
"1000:com.meizu.battery","60","0","4","*alarm*:pm.nonwakeup.powergauge.stats"
"1000:com.meizu.battery","40","0","4","*alarm*:com.meizu.power.powerexception"
"u0a5:com.android.providers.calendar","27966","1","1","*walarm*:com.android.providers.calendar.intent.CalendarProvider2"
"u0a7:com.meizu.customizecenter","179","0","1","*alarm*:com.meizu.usagestats.uploader_alarm.com.meizu.customizecenter"
"u0a9:com.meizu.yellowpage","369","0","1","*alarm*:com.meizu.usagestats.uploader_alarm.com.meizu.yellowpage"
"u0a14:com.meizu.flyme.launcher","76","0","4","*alarm*:com.meizu.usagestats.uploader_alarm.com.meizu.flyme.launcher"
"u0a22:com.meizu.backup","369","0","1","*alarm*:com.meizu.usagestats.uploader_alarm.com.meizu.backup"
"u0a24:com.meizu.flyme.input","9","0","1","*alarm*:com.meizu.usagestats.uploader_alarm.com.meizu.flyme.input"
"u0a30:com.flyme.systemuitools","36769","0","8","*alarm*:nisdk.SYNC"
"u0a30:com.android.systemui","346","14","14","*walarm*:com.android.internal.policy.impl.PhoneWindowManager.DELAYED_KEYGUARD"
"u0a37:com.alipay.android.app","24","1","1","*walarm*:com.alipay.notify.config.check"
"u0a49:com.meizu.flyme.telecom","16","0","1","*alarm*:com.meizu.usagestats.uploader_alarm.com.meizu.flyme.telecom"
"u0a60:com.meizu.cloud","34330","1","1","*walarm*:com.meizu.push.action.Monitor"
"u0a60:com.meizu.cloud","765","39","39","*walarm*:com.meizu.push.action.Ping"
"u0a67:com.meizu.mzsyncservice","53","1","1","*walarm*:com.meizu.flyme.alarmsync.name"
"u0a79:com.meizu.flyme.weather","15","0","1","*alarm*:com.meizu.flyme.weather.appwidget.action.WIDGET_ENABLE_DELAY"
"u0a88:com.sina.weibo","6463","1","1","*walarm*:com.huawei.intent.action.PUSH_OFF"
"u0a88:com.sina.weibo","2300","0","99","*alarm*:com.sina.smart.heartbeat.action1004"
"u0a88:com.sina.weibo","40","0","1","*alarm*:com.sina.weibo.action.GET_PUSH_VALUE"
"u0a95:com.tencent.mobileqq","2877","110","110","*walarm*:com.tencent.mobileqq:MSF_430025283"
"u0a97:com.tencent.mm","26237","0","91","*alarm*:com.tencent.mm.TrafficStatsReceiver"
"u0a97:com.tencent.mm","2329","67","67","*walarm*:ALARM_ACTION(5580)"
"u0a97:com.tencent.mm","1118","30","30","*walarm*:com.tencent.mm/.booter.MMReceivers$AlarmReceiver"
"u0a97:com.tencent.mm","124","1","1","*walarm*:ALARM_ACTION(7087)"
"u0a97:com.tencent.mm","47","1","1","*walarm*:ALARM_ACTION(1934)"
