"Pkg","Cls","Created count","Total created time","Total created time(ms)","Total created time(%)","Max created time(ms)","Avg created time(ms)","Resumed count","Total resumed time","Total resumed time(ms)","Total resumed time(%)","Max resumed time(ms)","Avg resumed time(ms)"
"com.tianyancha.skyeye",".LoginActivity","1","17m35s736ms","1055736","4%","1055736","1055736","1","5h5m8s533ms","18308533","70%","18308533","18308533"
"com.tianyancha.skyeye",".MainActivity","6","4h24m42s781ms","15882781","60%","7806528","2647130","37","29m24s280ms","1764280","6%","358914","47683"
"com.tianyancha.skyeye",".search.SearchCompanyActivity","2","1h2m45s92ms","3765092","14%","3198545","1882546","3","10m14s295ms","614295","2%","614295","204765"
"com.tianyancha.skyeye",".SplashPage","4","43s508ms","43508","0%","28956","10877","4","2h36m37s102ms","9397102","35%","9397102","2349275"
"com.meizu.flyme.launcher",".Launcher","1","7h15m39s166ms","26139166","100%","26139166","26139166","21","35m45s417ms","2145417","8%","376708","102162"
"com.tencent.mobileqq",".activity.SplashActivity","1","3h29m13s484ms","12553484","48%","12553484","12553484","1","3h46m49s629ms","13609629","52%","13609629","13609629"
"com.tianyancha.skyeye",".AdvertActivity","3","9s801ms","9801","0%","4094","3267","3","2h36m38s731ms","9398731","35%","9398731","3132910"
"com.android.settings",".AppPicker","1","1s131ms","1131","0%","1131","1131","1","3h51m12s981ms","13872981","53%","13872981","13872981"
"com.tianyancha.skyeye",".detail.company.FirmDetailActivity","3","1h21m58s747ms","4918747","18%","3187529","1639582","6","15m20s658ms","920658","3%","618166","153443"
"com.tianyancha.skyeye",".detail.datadimension.companyinfo.CompanyInfoActivity","2","31m32s704ms","1892704","7%","1338113","946352","3","11m49s259ms","709259","2%","707814","236419"
"com.meizu.perfui",".settings.SettingsActivity","1","2s375ms","2375","0%","2375","2375","1","3h50m46s786ms","13846786","52%","13846786","13846786"
"com.android.systemui",".usb.UsbDebuggingActivity","1","3s150ms","3150","0%","3150","3150","1","4h1m3s394ms","14463394","55%","14463394","14463394"
"com.android.settings",".SubSettings","13","7h12m21s452ms","25941452","99%","12762948","1995496","18","3h31m43s918ms","12703918","48%","12661844","705773"
"com.android.settings",".Settings","1","3h44m54s807ms","13494807","51%","13494807","13494807","10","3h31m49s801ms","12709801","48%","12659582","1270980"
"com.tianyancha.skyeye",".activity.LaunchActivity","1","35s968ms","35968","0%","35968","35968","2","4h11m44s346ms","15104346","57%","15104346","7552173"
"com.android.settings",".deviceinfo.Status","2","3h16m5s967ms","11765967","45%","11304666","5882983","5","3h36m23s894ms","12983894","49%","12983894","2596778"
