"Proc","Created count","Total created time","Total created time(ms)","Total created time(%)","Max created time(ms)","Avg created time(ms)","Restart count","Min restart time(ms)","Avg restart time(ms)","Restart after kill count","Min restart after kill time(ms)","Avg restart after kill time(ms)"
"com.yunos.lifecard","15","7m51s233ms","471233","1%","31873","31415","14","336005","1790249","0","0",""
"com.tencent.mobileqq:qzone","10","1h44m12s206ms","6252206","23%","1263527","625220","9","79640","699294","0","0",""
"com.android.printspooler","1","10m47s66ms","647066","2%","647066","647066","0","0","","0","0",""
"com.android.defcontainer","4","4h13m21s882ms","15201882","58%","10622094","3800470","3","555082","3645761","0","0",""
"com.tencent.mobileqq","2","5h13m18s62ms","18798062","71%","12553463","9399031","1","7341104","7341104","0","0",""
"com.tianyancha.skyeye","3","41m9s824ms","2469824","9%","2385400","823274","2","43","1150","0","0",""
"com.alipay.android.app","5","6h37m13s382ms","23833382","91%","8835098","4766676","4","488","424981","0","0",""
"com.tianyancha.skyeye:channel","2","39m50s444ms","2390444","9%","2373552","1195222","1","1021","1021","0","0",""
"com.meizu.filemanager","4","3h47m50s503ms","13670503","52%","9926403","3417625","3","224824","4156221","0","0",""
"com.meizu.media.music","2","31m21s454ms","1881454","7%","1177212","940727","1","13175541","13175541","0","0",""
"com.meizu.documentsui","1","21m9s113ms","1269113","4%","1269113","1269113","0","0","","0","0",""
"com.android.providers.calendar","1","10m5s237ms","605237","2%","605237","605237","0","0","","0","0",""
"com.android.browser","1","2h28m51s963ms","8931963","34%","8931963","8931963","0","0","","0","0",""
"com.android.musicfx","4","3h44m43s543ms","13483543","51%","10105621","3370885","3","591135","4218541","0","0",""
"com.android.externalstorage","1","26m39s660ms","1599660","6%","1599660","1599660","0","0","","0","0",""
"com.android.packageinstaller","4","3h44m33s17ms","13473017","51%","9394957","3368254","3","3986","4222049","0","0",""
"android.process.acore","4","6h34m55s206ms","23695206","90%","11779527","5923801","3","404916","814653","0","0",""
"com.meizu.perfui","1","20m9s389ms","1209389","4%","1209389","1209389","0","0","","0","0",""
"com.meizu.media.gallery","3","3h36m52s956ms","13012956","49%","10757264","4337652","2","4293725","6563105","0","0",""
"com.meizu.flyme.update","2","3h54m58s875ms","14098875","53%","13492978","7049437","1","12040291","12040291","0","0",""
"com.meizu.customizecenter","4","3h44m31s678ms","13471678","51%","10605164","3367919","3","565274","4222496","0","0",""
"com.android.keychain","3","2h43m28s362ms","9808362","37%","8220930","3269454","2","3831749","7565576","0","0",""
"com.meizu.media.video","1","22m51s716ms","1371716","5%","1371716","1371716","0","0","","0","0",""
"com.meizu.net.search","4","5h5m8s457ms","18308457","70%","9149517","4577114","3","881823","2399933","0","0",""
"com.meizu.media.reader","4","6h22m54s597ms","22974597","87%","12625778","5743649","3","309063","852994","0","0",""
"com.android.calendar:remote","5","6h41m46s582ms","24106582","92%","10382661","4821316","4","170479","423217","0","0",""
"com.meizu.flyme.weather","4","6h46m29s450ms","24389450","93%","9399237","6097362","3","357535","574678","0","0",""
"com.yunos.alimobilesearch","5","4h15m32s929ms","15332929","58%","9718370","3066585","4","308833","2550312","0","0",""
"com.tencent.mobileqq:TMAssistantDownloadSDKService","1","6s15ms","6015","0%","6015","6015","0","0","","0","0",""
"com.svox.pico","3","3h18m5s248ms","11885248","45%","9629709","3961749","2","5421914","7126959","0","0",""
"com.mediatek.mtklogger","2","20s269ms","20269","0%","10167","10134","1","7677","7677","0","0",""
