"Pkg","Cls","Created count","Total created time","Total created time(ms)","Total created time(%)","Max created time(ms)","Avg created time(ms)","Resumed count","Total resumed time","Total resumed time(ms)","Total resumed time(%)","Max resumed time(ms)","Avg resumed time(ms)"
"com.tianyancha.skyeye",".LoginActivity","4","22m43s680ms","1363680","114%","1174360","340920","9","16m44s420ms","1004420","84%","916190","111602"
"com.tianyancha.skyeye",".MainActivity","3","14m36s740ms","876740","73%","754860","292246","8","4m53s90ms","293090","24%","288880","36636"
"com.sec.android.app.launcher","com.android.launcher2.Launcher","1","19m54s500ms","1194500","100%","1194500","1194500","9","2m53s680ms","173680","14%","58320","19297"
"com.tianyancha.skyeye",".SplashPage","4","13s430ms","13430","1%","4670","3357","4","1m22s880ms","82880","6%","82880","20720"
"com.android.settings",".Settings$WifiSettingsActivity","1","4m51s430ms","291430","24%","291430","291430","0","0ms","0","0%","0",""
"com.tianyancha.skyeye",".activity.ResetPasswordActivity","4","1m51s470ms","111470","9%","56520","27867","3","15m30s30ms","930030","77%","930030","310010"
"com.android.packageinstaller",".permission.ui.ManagePermissionsActivity","3","9s960ms","9960","0%","3800","3320","3","2s450ms","2450","0%","2450","816"
"com.tencent.mobileqq",".filemanager.fileviewer.FileBrowserActivity","1","4m51s470ms","291470","24%","291470","291470","0","0ms","0","0%","0",""
"com.android.mms",".ui.ConversationComposer","1","4m51s580ms","291580","24%","291580","291580","0","0ms","0","0%","0",""
"com.tianyancha.skyeye",".FeedBackPage","1","6s370ms","6370","0%","6370","6370","1","15m14s150ms","914150","76%","914150","914150"
"com.android.contacts",".activities.PeopleActivity","1","4m51s410ms","291410","24%","291410","291410","0","0ms","0","0%","0",""
"com.tencent.mobileqq",".activity.SplashActivity","1","4m51s590ms","291590","24%","291590","291590","0","0ms","0","0%","0",""
"com.android.systemui",".recents.SeparatedRecentsActivity","1","19m54s500ms","1194500","100%","1194500","1194500","2","2s580ms","2580","0%","1330","1290"
"com.android.settings",".GridSettings","1","4m51s460ms","291460","24%","291460","291460","0","0ms","0","0%","0",""
"com.tianyancha.skyeye",".activity.ContactUsActivity","1","15s30ms","15030","1%","15030","15030","1","16m27s890ms","987890","82%","987890","987890"
"com.tencent.android.qqdownloader","com.tencent.pangu.link.LinkProxyActivity","1","650ms","650","0%","650","650","1","2m16s30ms","136030","11%","136030","136030"
"com.android.settings",".SubSettings","1","4m51s460ms","291460","24%","291460","291460","0","0ms","0","0%","0",""
"com.tianyancha.skyeye",".activity.LaunchActivity","1","3m18s490ms","198490","16%","198490","198490","2","4m38s640ms","278640","23%","143190","139320"
"com.tencent.mm",".ui.account.LoginPasswordUI","1","4m51s430ms","291430","24%","291430","291430","0","0ms","0","0%","0",""
"flipboard.boxer.app","flipboard.boxer.gui.FeedActivity","1","4m51s580ms","291580","24%","291580","291580","0","0ms","0","0%","0",""
"com.tencent.mm",".ui.LauncherUI","1","4m51s430ms","291430","24%","291430","291430","0","0ms","0","0%","0",""
"com.tianyancha.skyeye",".camera.ScanImageActivity","1","13s500ms","13500","1%","13500","13500","1","16m12s550ms","972550","81%","972550","972550"
"com.tianyancha.skyeye",".WebDetailActivity","1","16s590ms","16590","1%","16590","16590","1","18m4s390ms","1084390","90%","1084390","1084390"
