"Proc","Created count","Total created time","Total created time(ms)","Total created time(%)","Max created time(ms)","Avg created time(ms)","Restart count","Min restart time(ms)","Avg restart time(ms)","Restart after kill count","Min restart after kill time(ms)","Avg restart after kill time(ms)"
"com.sec.android.app.myfiles","3","10s450ms","10450","0%","4550","3483","2","57450","168535","0","0",""
"com.android.exchange","1","12m29s890ms","749890","62%","749890","749890","0","0","","0","0",""
"com.sec.android.service.health","4","1m15s610ms","75610","6%","64800","18902","3","830","111923","0","0",""
"com.samsung.android.sconnect","3","6m35s870ms","395870","33%","274300","131956","2","6100","8275","0","0",""
"com.android.defcontainer","3","7m8s410ms","428410","35%","280270","142803","2","1160","1685","0","0",""
"com.tencent.mm","1","4m51s760ms","291760","24%","291760","291760","0","0","","0","0",""
"com.tencent.mobileqq","2","19m53s390ms","1193390","99%","901580","596695","1","1110","1110","0","0",""
"com.samsung.android.sm.policy","1","9m11s310ms","551310","46%","551310","551310","0","0","","0","0",""
"com.tianyancha.skyeye","2","25s340ms","25340","2%","20190","12670","1","48610","48610","0","0",""
"com.sec.kidsplat.installer","6","6m47s900ms","407900","34%","274290","67983","5","40","676","0","0",""
"com.samsung.android.app.sreminder","6","55s30ms","55030","4%","35730","9171","5","240","79304","0","0",""
"com.policydm","1","9m12s830ms","552830","46%","552830","552830","0","0","","0","0",""
"com.sec.android.pagebuddynotisvc","2","19m53s460ms","1193460","99%","663180","596730","1","1040","1040","0","0",""
"com.sec.android.app.themechooser","2","10s240ms","10240","0%","5970","5120","1","276300","276300","0","0",""
"com.samsung.android.app.mirrorlink","3","5m53s220ms","353220","29%","232520","117740","2","5730","28270","0","0",""
"com.tianyancha.skyeye:channel","1","8s970ms","8970","0%","8970","8970","0","0","","0","0",""
"com.sec.android.app.camera","4","7m13s990ms","433990","36%","273530","108497","3","7240","252230","0","0",""
"com.samsung.hs20provider","1","30s590ms","30590","2%","30590","30590","0","0","","0","0",""
"com.sec.android.provider.badge","5","14m47s50ms","887050","74%","827230","177410","4","30","72032","0","0",""
"com.sec.android.GeoLookout","4","7m16s170ms","436170","36%","273910","109042","3","7240","251470","0","0",""
"com.android.providers.calendar","1","3m34s50ms","214050","17%","214050","214050","0","0","","0","0",""
"com.bst.airmessage","2","19m54s160ms","1194160","99%","846450","597080","1","340","340","0","0",""
"com.android.contacts","2","19m52s930ms","1192930","99%","901150","596465","1","1570","1570","0","0",""
"com.android.systemui:screenshot","1","3m36s540ms","216540","18%","216540","216540","0","0","","0","0",""
"com.sec.android.widget.festivalmemorywidget","1","3m32s520ms","212520","17%","212520","212520","0","0","","0","0",""
"com.baidu.searchbox_samsung:bdservice_v1","4","12m39s370ms","759370","63%","747350","189842","3","56700","145043","0","0",""
"com.sec.android.widgetapp.activeapplicationwidget","4","15m30s60ms","930060","77%","579860","232515","3","5410","87173","0","0",""
"com.samsung.android.app.FileShareServer","1","32s760ms","32760","2%","32760","32760","0","0","","0","0",""
"com.samsung.android.sm.devicesecurity","4","22s130ms","22130","1%","8120","5532","3","600","108636","0","0",""
"com.sec.android.app.sbrowser:CustomLogger","1","9m11s180ms","551180","46%","551180","551180","0","0","","0","0",""
"com.android.keychain","3","12s800ms","12800","1%","7070","4266","2","56250","166080","0","0",""
"com.tencent.mobileqq:MSF","2","19m49s910ms","1189910","99%","898110","594955","1","4590","4590","0","0",""
"com.samsung.android.coreapps","7","19m29s800ms","1169800","97%","751000","167114","6","350","4085","0","0",""
"com.samsung.android.app.filterinstaller","4","49s880ms","49880","4%","20490","12470","3","70","99763","0","0",""
