"Pkg","Cls","Created count","Total created time","Total created time(ms)","Total created time(%)","Max created time(ms)","Avg created time(ms)"
"com.tencent.engine",".DemoSecureService","0","0ms","0","0%","0",""
"com.bst.airmessage",".AirMsgUiService","0","0ms","0","0%","0",""
"com.sec.android.pagebuddynotisvc",".PageBuddyNotiSvc","0","0ms","0","0%","0",""
"com.tianyancha.skyeye","com.taobao.accs.ChannelService","0","0ms","0","0%","0",""
"com.tencent.mobileqq",".msf.service.MsfService","0","0ms","0","0%","0",""
"com.tencent.mobileqq","com.tencent.tmdownloader.TMAssistantDownloadService","0","0ms","0","0%","0",""
"com.samsung.aasaservice",".AASAService","0","0ms","0","0%","0",""
"com.sec.android.app.shealth","com.samsung.android.service.health.HealthService","0","0ms","0","0%","0",""
"com.tianyancha.skyeye","com.taobao.accs.data.MsgDistributeService","0","0ms","0","0%","0",""
"com.tianyancha.skyeye","org.android.agoo.accs.AgooService","0","0ms","0","0%","0",""
"com.bst.airmessage",".host.AirMessageService","0","0ms","0","0%","0",""
"com.qualcomm.atfwd",".AtFwdService","0","0ms","0","0%","0",""
"com.tencent.android.qqdownloader","com.tencent.assistant.daemon.CoreService","0","0ms","0","0%","0",""
