"Name","Active count","Event count","Wakeup count","Expire count","Active since (ms)","Total time (ms)","Total time (%)","Max time (ms)","Last change","Prevent Suspend Time"
"wlan_pm_wake","3","3","0","1","0","0","0","0","33404880","0"
"wlan_evt_wake","216","216","0","0","0","0","0","0","33390003","0"
"wlan_ctrl_wake","6","215","0","6","0","0","0","0","33390500","0"
"wlan_rx_wake","553","3220","0","552","0","0","0","0","34160714","0"
"wlan_wake   ","5583","5583","0","0","0","0","0","0","34160810","0"
"SensorService_wakelock","12","12","0","0","0","0","0","0","28192689","0"
"rmt_storage_-1229715152","12","12","2","0","0","0","0","0","33477384","0"
"ipc00000021_Loc_hal_worker","23","23","8","0","0","0","0","0","33477391","0"
"ipc00000020_Loc_hal_worker","4","4","0","0","0","0","0","0","38413","0"
"ipc0000001d_Loc_hal_worker","23","23","8","0","0","0","0","0","33477391","0"
"ipc0000001c_Loc_hal_worker","486","844","0","0","0","0","0","0","33386175","0"
"ipc0000001b_Loc_hal_worker","0","0","0","0","0","0","0","0","38167","0"
"PowerManagerService.Broadcasts","37","37","2","0","0","0","0","0","32943983","0"
"LightsService","1564","1564","10","0","0","0","0","0","34144129","0"
"PowerManagerService.WakeLocks","4590","4590","245","0","0","4","0","0","34033713","0"
"event2-847  ","13609","13616","0","0","0","0","0","0","33383026","0"
"event1-847  ","86","86","0","0","0","0","0","0","33375871","0"
"event13-847 ","3840","3844","148","0","0","0","0","0","33373860","0"
"event0-847  ","3620","3620","0","0","0","0","0","0","28280051","0"
"event3-847  ","13","14","0","0","0","0","0","0","32943051","0"
"event14-847 ","0","0","0","0","0","0","0","0","18333","0"
"event15-847 ","3794","3794","148","0","0","0","0","0","28280051","0"
"KeyEvents   ","22914","22914","310","0","0","0","0","0","34149553","0"
"SMD_TTY_DS_RA","3","3","0","0","0","0","0","0","8277289","0"
"DS          ","1","3","0","1","0","0","0","0","8280290","0"
"client-interface","2","2","0","0","0","0","0","0","21556","0"
"radio-interface","24","70","0","0","0","0","0","0","32943195","0"
"PowerManagerService.Display","20","20","0","0","1","24","0","7","32942942","0"
"ApmOutput   ","962","998","0","0","0","0","0","0","34133680","0"
"ApmAudio    ","1308","1308","0","0","0","0","0","0","34133446","0"
"ipc00000018_thermal-engine","46","46","8","0","0","0","0","0","33477389","0"
"ipc00000017_thermal-engine","2","2","0","0","0","0","0","0","11255","0"
"ipc00000014_thermal-engine","46","46","8","0","0","0","0","0","33477388","0"
"ipc00000013_thermal-engine","0","0","0","0","0","0","0","0","11240","0"
"ipc00000012_thermal-engine","45","46","8","0","0","0","0","0","33477389","0"
"ipc00000011_thermal-engine","46","46","8","0","0","0","0","0","33477388","0"
"ipc0000000f_thermal-engine","0","0","0","0","0","0","0","0","11217","0"
"ipc00000010_thermal-engine","3","3","0","0","0","0","0","0","11241","0"
"qmuxd_port_wl_7","5","5","0","0","0","0","0","0","14707","0"
"qmuxd_port_wl_5","5","5","0","0","0","0","0","0","14702","0"
"qmuxd_port_wl_6","5","5","0","0","0","0","0","0","14705","0"
"qmuxd_port_wl_4","5","5","0","0","0","0","0","0","14700","0"
"smdcntl7    ","4","9","0","0","0","0","0","0","14707","0"
"smdcntl6    ","4","9","0","0","0","0","0","0","14705","0"
"smdcntl5    ","4","9","0","0","0","0","0","0","14702","0"
"qmuxd_port_wl_1","15","15","0","0","0","0","0","0","56267","0"
"qmuxd_port_wl_2","5","5","0","0","0","0","0","0","14695","0"
"qmuxd_port_wl_3","5","5","0","0","0","0","0","0","14697","0"
"smdcntl4    ","4","10","0","0","0","0","0","0","14700","0"
"smdcntl3    ","4","9","0","0","0","0","0","0","14697","0"
"smdcntl2    ","4","9","0","0","0","0","0","0","14695","0"
"smdcntl1    ","13","21","0","0","0","0","0","0","56266","0"
"ipc0000000e_time_daemon","46","46","8","0","0","0","0","0","33477390","0"
"ipc0000000d_time_daemon","7","10","0","0","0","0","0","0","28173560","0"
"qmuxd_port_wl_0","2035","2035","9","0","0","0","0","0","34150028","0"
"rmt_storage_-1228670672","13","13","1","0","0","0","0","0","33145861","0"
"ipc_rtr_smd_ipcrtr","724","944","8","0","0","0","0","0","33477387","0"
"smdcntl0    ","2014","2583","10","0","0","0","0","0","34150028","0"
"ipc0000000c_time_daemon","0","0","0","0","0","0","0","0","6259","0"
"ipc0000000b_time_daemon","57","62","8","0","0","0","0","0","33477390","0"
"ipc0000000a_time_daemon","0","0","0","0","0","0","0","0","6259","0"
"ipc00000009_thermal-engine","0","0","0","0","0","0","0","0","6023","0"
"ipc00000005_rmt_storage","60","62","8","0","0","0","0","0","33477389","0"
"ipc00000004_rmt_storage","32","32","0","0","0","0","0","0","33477283","0"
"ipc00000003_rfs_access","56","62","8","0","0","0","0","0","33477391","0"
"ipc00000002_rfs_access","0","0","0","0","0","0","0","0","5702","0"
"taiko-slim-pgd","0","0","0","0","0","0","0","0","5520","0"
"ipc00000001_kworker/1:1","283","283","0","0","0","0","0","0","34039910","0"
"ipc_rtr_q6_ipcrtr","357","377","0","0","0","0","0","0","34039910","0"
